tweet_id,text,rating_numerator,rating_denominator,name,year,month,day,Dog_type,image_url,prediction,pourcentage,predicted_breed,favorites,retweets
892420643555336193,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 https://t.co/MgUWQ76dJU,13.0,10.0,Phineas,2017,8,1,,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,Orange,9.7,False,39467,8853
892177421306343426,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",13.0,10.0,Tilly,2017,8,1,,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,Chihuahua,32.36,True,33819,6514
891815181378084864,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,12.0,10.0,Archie,2017,7,31,,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,Chihuahua,71.6,True,25461,4328
891689557279858688,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,13.0,10.0,Darla,2017,7,30,,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,Paper Towel,17.03,False,42908,8964
891327558926688256,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f",12.0,10.0,Franklin,2017,7,29,,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,Basset,55.57,True,41048,9774
891087950875897856,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,13.0,10.0,None,2017,7,29,,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,Chesapeake Bay Retriever,42.56,True,20562,3261
890971913173991426,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl",13.0,10.0,Jax,2017,7,28,,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,Appenzeller,34.17,True,12041,2158
890729181411237888,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,13.0,10.0,None,2017,7,28,,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,Pomeranian,56.61,True,56848,16716
890609185150312448,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,13.0,10.0,Zoey,2017,7,27,,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,Irish Terrier,48.76,True,28226,4429
890240255349198849,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,14.0,10.0,Cassie,2017,7,26,doggo,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,Pembroke,51.13,True,32467,7711
890006608113172480,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek https://t.co/dVPW0B0Mme,13.0,10.0,Koda,2017,7,26,,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,Samoyed,95.8,True,31166,7624
889880896479866881,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy https://t.co/u1XPQMl29g,13.0,10.0,Bruno,2017,7,25,,https://pbs.twimg.com/media/DFl99B1WsAITKsg.jpg,French Bulldog,37.74,True,28268,5156
889665388333682689,Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. 13/10 https://t.co/BxvuXk0UCm,13.0,10.0,None,2017,7,25,puppo,https://pbs.twimg.com/media/DFi579UWsAAatzw.jpg,Pembroke,96.63,True,38818,8538
